中文名,adcode,citycode
昌都市,540300,0895
林芝市,540400,0894
山南市,540500,0893
那曲市,540600,0896
阿里地区,542500,0897
西安市,610100,029
铜川市,610200,0919
宝鸡市,610300,0917
咸阳市,610400,0910
渭南市,610500,0913
延安市,610600,0911
汉中市,610700,0916
榆林市,610800,0912
安康市,610900,0915
商洛市,611000,0914
兰州市,620100,0931
嘉峪关市,620200,1937
金昌市,620300,0935
白银市,620400,0943
天水市,620500,0938
武威市,620600,1935
张掖市,620700,0936
平凉市,620800,0933
酒泉市,620900,0937
庆阳市,621000,0934
定西市,621100,0932
陇南市,621200,2935
临夏回族自治州,622900,0930
甘南藏族自治州,623000,0941
西宁市,630100,0971
海东市,630200,0972
海北藏族自治州,632200,0970
黄南藏族自治州,632300,0973
海南藏族自治州,632500,0974
果洛藏族自治州,632600,0975
玉树藏族自治州,632700,0976
海西蒙古族藏族自治州,632800,0977
银川市,640100,0951
石嘴山市,640200,0952
吴忠市,640300,0953
固原市,640400,0954
中卫市,640500,1953
乌鲁木齐市,650100,0991
克拉玛依市,650200,0990
吐鲁番市,650400,0995
哈密市,650500,0902
昌吉回族自治州,652300,0994
博尔塔拉蒙古自治州,652700,0909
巴音郭楞蒙古自治州,652800,0996
阿克苏地区,652900,0997
克孜勒苏柯尔克孜自治州,653000,0908
喀什地区,653100,0998
和田地区,653200,0903
伊犁哈萨克自治州,654000,0999
塔城地区,654200,0901
阿勒泰地区,654300,0906
石河子市,659001,0993
阿拉尔市,659002,1997
图木舒克市,659003,1998
五家渠市,659004,1994
北屯市,659005,1906
铁门关市,659006,1996
双河市,659007,1909
可克达拉市,659008,1999
昆玉市,659009,1903
胡杨河市,659010,0992
新星市,659011,2940
白杨市,659012,2941
台湾省,710000,1886
香港特别行政区,810000,1852
澳门特别行政区,820000,1853
